Athlete_ID,Name,Gender,Grade,Athlete_Class,Event,Raw_Result,Result_In_Seconds,Result_In_Inches,Result_In_Meters,Wind,Placement,Date,Meet,Atmosphere,Race_Type,Season,Performance_Type
6,Nia Parker,Female,9,2027,100m,12.80,12.8,,,-0.0,3,2023-04-06,County Championship,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,100m,12.72,12.72,,,0.2,4,2023-04-25,Section Qualifier,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,100m,12.96,12.96,,,,5,2023-05-12,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
6,Nia Parker,Female,9,2027,100m,12.57,12.57,,,,5,2023-05-29,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
6,Nia Parker,Female,9,2027,200m,27.45,27.45,,,-0.4,2,2023-02-02,Early Bird Invitational,Indoor,Prelims,2023 Indoor,Official
6,Nia Parker,Female,9,2027,200m,27.10,27.1,,,,6,2023-02-24,City Championship,Indoor,Finals,2023 Indoor,Official
6,Nia Parker,Female,9,2027,200m,26.87,26.87,,,-0.0,6,2023-03-13,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,200m,26.47,26.47,,,0.5,8,2023-04-07,County Championship,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,400m,1:03.55,63.55,,,,7,2023-01-31,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
6,Nia Parker,Female,9,2027,400m,1:02.67,62.67,,,,5,2023-02-23,City Championship,Indoor,Finals,2023 Indoor,Official
6,Nia Parker,Female,9,2027,400m,1:01.90,61.9,,,,2,2023-03-15,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,400m,1:00.82,60.82,,,,6,2023-04-05,County Championship,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,60m,8.72,8.72,,,,7,2023-02-04,Early Bird Invitational,Indoor,Finals,2023 Indoor,Official
6,Nia Parker,Female,9,2027,60m,8.58,8.58,,,,5,2023-02-20,City Championship,Indoor,Prelims,2023 Indoor,Official
6,Nia Parker,Female,9,2027,60m,8.44,8.44,,,,2,2023-03-15,Tiger Classic,Outdoor,Finals,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,60m,8.31,8.31,,,,2,2023-04-06,County Championship,Outdoor,Prelims,2023 Outdoor,Official
6,Nia Parker,Female,9,2027,60m,8.47,8.47,,,,3,2023-04-25,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
6,Nia Parker,Female,9,2027,60m,8.67,8.67,,,,2,2023-05-14,Practice Time Trial,Outdoor,Finals,2023 Outdoor,Practice
